TaxName	species	Abundance_per_rank_RawFile	SampleCategory	RawFile
candidate division TM7 single-cell isolate TM7a	447454	126.77026	Caries	Caries-E04
Corynebacterium matruchotii	43768	107.00162	Caries	Caries-E04
Actinomyces odontolyticus	1660	97.15072	Caries	Caries-E04
Megasphaera micronuciformis	187326	94.16594	Caries	Caries-E04
Lachnospiraceae bacterium oral taxon 082	712976	86.39766	Caries	Caries-E04
Neisseria subflava	28449	80.0	Caries	Caries-E04
Leptotrichia shahii	157691	80.0	Caries	Caries-E04
Selenomonas sp. oral taxon 149	712535	67.61506	Caries	Caries-E04
Fusobacterium nucleatum	851	60.0	Caries	Caries-E04
Peptostreptococcus stomatis	341694	60.0	Caries	Caries-E04
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E04
Prevotella scopos	589437	55.68355	Caries	Caries-E04
Streptococcus australis	113107	49.0099	Caries	Caries-E04
Selenomonas sputigena	69823	47.32267	Caries	Caries-E04
Leptotrichia buccalis	40542	45.91785	Caries	Caries-E04
Atopobium parvulum	1382	45.67502	Caries	Caries-E04
Granulicatella adiacens	46124	45.65225	Caries	Caries-E04
Prevotella buccalis	28127	42.55212	Caries	Caries-E04
Porphyromonas gingivalis	837	40.0	Caries	Caries-E04
Gemella haemolysans	1379	40.0	Caries	Caries-E04
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E04
Polynucleobacter necessarius	576610	40.0	Caries	Caries-E04
Prevotella sp. oral taxon 306	712461	26.60598	Caries	Caries-E04
Streptococcus oligofermentans	195041	26.09993	Caries	Caries-E04
Selenomonas flueggei	135080	25.797	Caries	Caries-E04
Abiotrophia defectiva	46125	24.83467	Caries	Caries-E04
Prevotella oris	28135	24.44979	Caries	Caries-E04
Prevotella sp. oral taxon 299	652716	24.22136	Caries	Caries-E04
Alloprevotella tannerae	76122	24.18628	Caries	Caries-E04
Streptococcus cristatus	45634	24.05756	Caries	Caries-E04
Prevotella veroralis	28137	23.47744	Caries	Caries-E04
Streptococcus gordonii	1302	22.95599	Caries	Caries-E04
Prevotella salivae	228604	22.89438	Caries	Caries-E04
Lachnospiraceae bacterium oral taxon 500	712991	22.73382	Caries	Caries-E04
Actinomyces sp. oral taxon 180	651609	21.74709	Caries	Caries-E04
Leptotrichia goodfellowii	157692	21.71278	Caries	Caries-E04
Neisseria meningitidis	487	20.0	Caries	Caries-E04
Veillonella parvula	29466	20.0	Caries	Caries-E04
Filifactor alocis	143361	20.0	Caries	Caries-E04
Campylobacter concisus	199	20.0	Caries	Caries-E04
Capnocytophaga sp. oral taxon 329	706435	20.0	Caries	Caries-E04
Prevotella nigrescens	28133	20.0	Caries	Caries-E04
Aggregatibacter aphrophilus	732	20.0	Caries	Caries-E04
Alloprevotella rava	671218	20.0	Caries	Caries-E04
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E04
Actinomyces massiliensis	461393	20.0	Caries	Caries-E04
Selenomonas sp. oral taxon 138	712532	20.0	Caries	Caries-E04
Prevotella saccharolytica	633701	20.0	Caries	Caries-E04
Bacteroides pyogenes	310300	20.0	Caries	Caries-E04
Prevotella baroniae	305719	20.0	Caries	Caries-E04
Actinomyces timonensis	1288391	20.0	Caries	Caries-E04
Mycoplasma salivarium	2124	20.0	Caries	Caries-E04
Prevotella multisaccharivorax	310514	20.0	Caries	Caries-E04
Mycoplasma mycoides	2102	20.0	Caries	Caries-E04
Rothia mucilaginosa	43675	1347.82667	Caries	Caries-E05
Prevotella histicola	470565	657.27738	Caries	Caries-E05
Haemophilus parainfluenzae	729	612.97403	Caries	Caries-E05
Veillonella atypica	39777	543.36496	Caries	Caries-E05
Streptococcus salivarius	1304	532.60474	Caries	Caries-E05
Prevotella melaninogenica	28132	469.72084	Caries	Caries-E05
Veillonella dispar	39778	374.83623	Caries	Caries-E05
Prevotella pallens	60133	360.0	Caries	Caries-E05
Prevotella sp. oral taxon 473	712469	340.0	Caries	Caries-E05
Streptococcus parasanguinis	1318	327.84213	Caries	Caries-E05
Stomatobaculum longum	796942	306.51756	Caries	Caries-E05
Neisseria mucosa	488	283.32128	Caries	Caries-E05
Streptococcus mitis	28037	280.23047	Caries	Caries-E05
Actinomyces graevenitzii	55565	242.62674	Caries	Caries-E05
Veillonella sp. oral taxon 158	671228	229.8063	Caries	Caries-E05
Leptotrichia wadei	157687	206.29368	Caries	Caries-E05
Porphyromonas sp. oral taxon 279	712438	183.48284	Caries	Caries-E05
Fusobacterium periodonticum	860	180.0	Caries	Caries-E05
Actinomyces sp. oral taxon 172	712118	164.66184	Caries	Caries-E05
Leptotrichia sp. oral taxon 215	712359	160.0	Caries	Caries-E05
Streptococcus infantis	68892	143.60416	Caries	Caries-E05
Gemella sanguinis	84135	141.50907	Caries	Caries-E05
candidate division TM7 single-cell isolate TM7a	447454	126.88529	Caries	Caries-E05
Oribacterium sinus	237576	122.25846	Caries	Caries-E05
